#time,probability
2,0.486187
4,0.772821
6,0.8830392
8,0.93604
10,0.964097
12,0.9794072
14,0.9881478
16,0.9930068
18,0.9958628
20,0.9975148
22,0.9985266
24,0.9991096
26,0.9994762
28,0.9996834
30,0.9998082
32,0.9998862
34,0.9999312
36,0.999957
38,0.9999706
40,0.9999806
42,0.9999898
44,0.9999924
46,0.9999962
48,0.9999972
50,0.9999986
52,0.9999992
54,0.9999996
56,0.9999996
58,0.9999996
60,0.9999998
62,1
64,1
66,1
68,1
70,1
72,1
74,1
76,1
78,1
80,1
82,1
84,1
86,1
88,1
90,1
92,1
94,1
96,1
98,1
100,1
102,1
104,1
106,1
108,1
110,1
112,1
114,1
116,1
118,1
120,1
122,1
124,1
126,1
128,1
130,1
132,1
134,1
136,1
138,1
140,1
142,1
144,1
146,1
148,1
150,1
152,1
154,1
156,1
158,1
160,1
162,1
164,1
166,1
168,1
170,1
172,1
174,1
176,1
178,1
180,1
182,1
184,1
186,1
188,1
190,1
192,1
194,1
196,1
198,1
200,1
202,1
204,1
206,1
208,1
210,1
212,1
214,1
216,1
218,1
220,1
222,1
224,1
226,1
228,1
230,1
232,1
234,1
236,1
238,1
240,1
242,1
244,1
246,1
248,1
250,1
