group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
prove Fiat-Shamir,G1,,,,929523.0,ns,1
prove Fiat-Shamir,G1,,,,1840692.0,ns,2
prove Fiat-Shamir,G1,,,,2731142.0,ns,3
prove Fiat-Shamir,G1,,,,3642871.0,ns,4
prove Fiat-Shamir,G1,,,,4551626.0,ns,5
prove Fiat-Shamir,G1,,,,5563322.0,ns,6
prove Fiat-Shamir,G1,,,,6699976.0,ns,7
prove Fiat-Shamir,G1,,,,7609492.0,ns,8
prove Fiat-Shamir,G1,,,,8179005.0,ns,9
prove Fiat-Shamir,G1,,,,9096937.0,ns,10
prove Fiat-Shamir,G1,,,,10030348.0,ns,11
prove Fiat-Shamir,G1,,,,11040824.0,ns,12
prove Fiat-Shamir,G1,,,,13326313.0,ns,13
prove Fiat-Shamir,G1,,,,13164210.0,ns,14
prove Fiat-Shamir,G1,,,,13910898.0,ns,15
prove Fiat-Shamir,G1,,,,14691639.0,ns,16
prove Fiat-Shamir,G1,,,,15488794.0,ns,17
prove Fiat-Shamir,G1,,,,16409319.0,ns,18
prove Fiat-Shamir,G1,,,,17312041.0,ns,19
prove Fiat-Shamir,G1,,,,18318962.0,ns,20
prove Fiat-Shamir,G1,,,,19170458.0,ns,21
prove Fiat-Shamir,G1,,,,20073430.0,ns,22
prove Fiat-Shamir,G1,,,,20966414.0,ns,23
prove Fiat-Shamir,G1,,,,21938848.0,ns,24
prove Fiat-Shamir,G1,,,,23138730.0,ns,25
prove Fiat-Shamir,G1,,,,24006607.0,ns,26
prove Fiat-Shamir,G1,,,,24903058.0,ns,27
prove Fiat-Shamir,G1,,,,25715559.0,ns,28
prove Fiat-Shamir,G1,,,,26642068.0,ns,29
prove Fiat-Shamir,G1,,,,27583955.0,ns,30
prove Fiat-Shamir,G1,,,,28562690.0,ns,31
prove Fiat-Shamir,G1,,,,29405391.0,ns,32
prove Fiat-Shamir,G1,,,,30157979.0,ns,33
prove Fiat-Shamir,G1,,,,31105960.0,ns,34
prove Fiat-Shamir,G1,,,,31984906.0,ns,35
prove Fiat-Shamir,G1,,,,33060874.0,ns,36
prove Fiat-Shamir,G1,,,,34100107.0,ns,37
prove Fiat-Shamir,G1,,,,34786068.0,ns,38
prove Fiat-Shamir,G1,,,,35776818.0,ns,39
prove Fiat-Shamir,G1,,,,37688052.0,ns,40
prove Fiat-Shamir,G1,,,,38138973.0,ns,41
prove Fiat-Shamir,G1,,,,38352185.0,ns,42
prove Fiat-Shamir,G1,,,,39172462.0,ns,43
prove Fiat-Shamir,G1,,,,40285332.0,ns,44
prove Fiat-Shamir,G1,,,,41217330.0,ns,45
prove Fiat-Shamir,G1,,,,42425800.0,ns,46
prove Fiat-Shamir,G1,,,,43083640.0,ns,47
prove Fiat-Shamir,G1,,,,43954113.0,ns,48
prove Fiat-Shamir,G1,,,,44904753.0,ns,49
prove Fiat-Shamir,G1,,,,45633971.0,ns,50
prove Fiat-Shamir,G1,,,,46562340.0,ns,51
prove Fiat-Shamir,G1,,,,47478240.0,ns,52
prove Fiat-Shamir,G1,,,,48711045.0,ns,53
prove Fiat-Shamir,G1,,,,49432515.0,ns,54
prove Fiat-Shamir,G1,,,,50251620.0,ns,55
prove Fiat-Shamir,G1,,,,52774157.0,ns,56
prove Fiat-Shamir,G1,,,,52349095.0,ns,57
prove Fiat-Shamir,G1,,,,53029519.0,ns,58
prove Fiat-Shamir,G1,,,,54102282.0,ns,59
prove Fiat-Shamir,G1,,,,55298369.0,ns,60
prove Fiat-Shamir,G1,,,,56282673.0,ns,61
prove Fiat-Shamir,G1,,,,57736626.0,ns,62
prove Fiat-Shamir,G1,,,,57475255.0,ns,63
prove Fiat-Shamir,G1,,,,58335736.0,ns,64
prove Fiat-Shamir,G1,,,,59790092.0,ns,65
prove Fiat-Shamir,G1,,,,60399920.0,ns,66
prove Fiat-Shamir,G1,,,,62701592.0,ns,67
prove Fiat-Shamir,G1,,,,64624287.0,ns,68
prove Fiat-Shamir,G1,,,,62959508.0,ns,69
