group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
prove Fiat-Shamir,G2,,,,2756399.0,ns,1
prove Fiat-Shamir,G2,,,,5455450.0,ns,2
prove Fiat-Shamir,G2,,,,8191750.0,ns,3
prove Fiat-Shamir,G2,,,,10953640.0,ns,4
prove Fiat-Shamir,G2,,,,13650174.0,ns,5
prove Fiat-Shamir,G2,,,,16434677.0,ns,6
prove Fiat-Shamir,G2,,,,18995866.0,ns,7
prove Fiat-Shamir,G2,,,,21754592.0,ns,8
prove Fiat-Shamir,G2,,,,24372910.0,ns,9
prove Fiat-Shamir,G2,,,,27346635.0,ns,10
prove Fiat-Shamir,G2,,,,30583174.0,ns,11
prove Fiat-Shamir,G2,,,,38043535.0,ns,12
prove Fiat-Shamir,G2,,,,37385344.0,ns,13
prove Fiat-Shamir,G2,,,,39495683.0,ns,14
prove Fiat-Shamir,G2,,,,41962487.0,ns,15
prove Fiat-Shamir,G2,,,,43901993.0,ns,16
prove Fiat-Shamir,G2,,,,46032341.0,ns,17
prove Fiat-Shamir,G2,,,,51057942.0,ns,18
prove Fiat-Shamir,G2,,,,52182913.0,ns,19
prove Fiat-Shamir,G2,,,,55861872.0,ns,20
prove Fiat-Shamir,G2,,,,57707971.0,ns,21
prove Fiat-Shamir,G2,,,,60647326.0,ns,22
prove Fiat-Shamir,G2,,,,63772050.0,ns,23
prove Fiat-Shamir,G2,,,,66319728.0,ns,24
prove Fiat-Shamir,G2,,,,68655151.0,ns,25
prove Fiat-Shamir,G2,,,,71621546.0,ns,26
prove Fiat-Shamir,G2,,,,74738643.0,ns,27
prove Fiat-Shamir,G2,,,,77227839.0,ns,28
prove Fiat-Shamir,G2,,,,79483515.0,ns,29
prove Fiat-Shamir,G2,,,,82227029.0,ns,30
prove Fiat-Shamir,G2,,,,84365070.0,ns,31
prove Fiat-Shamir,G2,,,,87237329.0,ns,32
prove Fiat-Shamir,G2,,,,89959835.0,ns,33
prove Fiat-Shamir,G2,,,,92340474.0,ns,34
prove Fiat-Shamir,G2,,,,95391947.0,ns,35
prove Fiat-Shamir,G2,,,,99605305.0,ns,36
prove Fiat-Shamir,G2,,,,101968924.0,ns,37
prove Fiat-Shamir,G2,,,,104177190.0,ns,38
prove Fiat-Shamir,G2,,,,107178589.0,ns,39
prove Fiat-Shamir,G2,,,,109824311.0,ns,40
prove Fiat-Shamir,G2,,,,112604052.0,ns,41
prove Fiat-Shamir,G2,,,,116650394.0,ns,42
prove Fiat-Shamir,G2,,,,119199153.0,ns,43
prove Fiat-Shamir,G2,,,,120409276.0,ns,44
prove Fiat-Shamir,G2,,,,122542086.0,ns,45
prove Fiat-Shamir,G2,,,,125369561.0,ns,46
prove Fiat-Shamir,G2,,,,128028756.0,ns,47
prove Fiat-Shamir,G2,,,,134002761.0,ns,48
prove Fiat-Shamir,G2,,,,134049162.0,ns,49
prove Fiat-Shamir,G2,,,,136012275.0,ns,50
prove Fiat-Shamir,G2,,,,139042480.0,ns,51
prove Fiat-Shamir,G2,,,,141406230.0,ns,52
prove Fiat-Shamir,G2,,,,148083211.0,ns,53
prove Fiat-Shamir,G2,,,,147049583.0,ns,54
prove Fiat-Shamir,G2,,,,150127517.0,ns,55
prove Fiat-Shamir,G2,,,,154655516.0,ns,56
prove Fiat-Shamir,G2,,,,157624235.0,ns,57
prove Fiat-Shamir,G2,,,,157771554.0,ns,58
prove Fiat-Shamir,G2,,,,162043964.0,ns,59
prove Fiat-Shamir,G2,,,,164123404.0,ns,60
prove Fiat-Shamir,G2,,,,167451632.0,ns,61
prove Fiat-Shamir,G2,,,,170006690.0,ns,62
prove Fiat-Shamir,G2,,,,171931924.0,ns,63
prove Fiat-Shamir,G2,,,,175756527.0,ns,64
prove Fiat-Shamir,G2,,,,180474016.0,ns,65
prove Fiat-Shamir,G2,,,,179756262.0,ns,66
prove Fiat-Shamir,G2,,,,182587901.0,ns,67
prove Fiat-Shamir,G2,,,,184223376.0,ns,68
prove Fiat-Shamir,G2,,,,190132771.0,ns,69
prove Fiat-Shamir,G2,,,,189917285.0,ns,70
prove Fiat-Shamir,G2,,,,192833155.0,ns,71
prove Fiat-Shamir,G2,,,,197813096.0,ns,72
prove Fiat-Shamir,G2,,,,198596556.0,ns,73
prove Fiat-Shamir,G2,,,,202113296.0,ns,74
prove Fiat-Shamir,G2,,,,206288054.0,ns,75
prove Fiat-Shamir,G2,,,,209391659.0,ns,76
prove Fiat-Shamir,G2,,,,209784940.0,ns,77
prove Fiat-Shamir,G2,,,,212242542.0,ns,78
prove Fiat-Shamir,G2,,,,216745707.0,ns,79
prove Fiat-Shamir,G2,,,,217282690.0,ns,80
prove Fiat-Shamir,G2,,,,220788061.0,ns,81
prove Fiat-Shamir,G2,,,,225081468.0,ns,82
prove Fiat-Shamir,G2,,,,225517560.0,ns,83
prove Fiat-Shamir,G2,,,,229475877.0,ns,84
prove Fiat-Shamir,G2,,,,232738393.0,ns,85
prove Fiat-Shamir,G2,,,,234517809.0,ns,86
prove Fiat-Shamir,G2,,,,238066230.0,ns,87
prove Fiat-Shamir,G2,,,,241994760.0,ns,88
prove Fiat-Shamir,G2,,,,243146933.0,ns,89
prove Fiat-Shamir,G2,,,,247192196.0,ns,90
prove Fiat-Shamir,G2,,,,249246189.0,ns,91
prove Fiat-Shamir,G2,,,,250640657.0,ns,92
prove Fiat-Shamir,G2,,,,254626457.0,ns,93
prove Fiat-Shamir,G2,,,,255565065.0,ns,94
prove Fiat-Shamir,G2,,,,258340652.0,ns,95
prove Fiat-Shamir,G2,,,,263531222.0,ns,96
prove Fiat-Shamir,G2,,,,263365759.0,ns,97
prove Fiat-Shamir,G2,,,,269733690.0,ns,98
prove Fiat-Shamir,G2,,,,268989778.0,ns,99
prove Fiat-Shamir,G2,,,,271564887.0,ns,100
