group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
prove Fischlin,G1,,,,19085621.0,ns,1
prove Fischlin,G1,,,,40836367.0,ns,2
prove Fischlin,G1,,,,61990277.0,ns,3
prove Fischlin,G1,,,,86869842.0,ns,4
prove Fischlin,G1,,,,115964712.0,ns,5
prove Fischlin,G1,,,,140836833.0,ns,6
prove Fischlin,G1,,,,172863934.0,ns,7
prove Fischlin,G1,,,,193707246.0,ns,8
prove Fischlin,G1,,,,198685724.0,ns,9
prove Fischlin,G1,,,,214236480.0,ns,10
prove Fischlin,G1,,,,242186634.0,ns,11
prove Fischlin,G1,,,,264441290.0,ns,12
prove Fischlin,G1,,,,290553657.0,ns,13
prove Fischlin,G1,,,,343217732.0,ns,14
prove Fischlin,G1,,,,339339460.0,ns,15
prove Fischlin,G1,,,,395066532.0,ns,16
prove Fischlin,G1,,,,387110873.0,ns,17
prove Fischlin,G1,,,,438514945.0,ns,18
prove Fischlin,G1,,,,447288494.0,ns,19
prove Fischlin,G1,,,,488200246.0,ns,20
prove Fischlin,G1,,,,509768157.0,ns,21
prove Fischlin,G1,,,,554916713.0,ns,22
prove Fischlin,G1,,,,564385979.0,ns,23
prove Fischlin,G1,,,,576083660.0,ns,24
prove Fischlin,G1,,,,593678165.0,ns,25
prove Fischlin,G1,,,,618524986.0,ns,26
prove Fischlin,G1,,,,655405317.0,ns,27
prove Fischlin,G1,,,,646491746.0,ns,28
prove Fischlin,G1,,,,710235602.0,ns,29
prove Fischlin,G1,,,,717348820.0,ns,30
prove Fischlin,G1,,,,733607907.0,ns,31
prove Fischlin,G1,,,,760899422.0,ns,32
prove Fischlin,G1,,,,790905682.0,ns,33
prove Fischlin,G1,,,,792553289.0,ns,34
prove Fischlin,G1,,,,824734852.0,ns,35
prove Fischlin,G1,,,,860471640.0,ns,36
prove Fischlin,G1,,,,916130413.0,ns,37
prove Fischlin,G1,,,,900363611.0,ns,38
prove Fischlin,G1,,,,931264319.0,ns,39
prove Fischlin,G1,,,,962613695.0,ns,40
prove Fischlin,G1,,,,978925130.0,ns,41
prove Fischlin,G1,,,,980602315.0,ns,42
prove Fischlin,G1,,,,1013069929.0,ns,43
prove Fischlin,G1,,,,1041004566.0,ns,44
prove Fischlin,G1,,,,1080327387.0,ns,45
prove Fischlin,G1,,,,1141259125.0,ns,46
prove Fischlin,G1,,,,1071049942.0,ns,47
prove Fischlin,G1,,,,1188328892.0,ns,48
prove Fischlin,G1,,,,1200445511.0,ns,49
prove Fischlin,G1,,,,1188154098.0,ns,50
prove Fischlin,G1,,,,1207744978.0,ns,51
prove Fischlin,G1,,,,1259119750.0,ns,52
prove Fischlin,G1,,,,1285363031.0,ns,53
prove Fischlin,G1,,,,1308566142.0,ns,54
prove Fischlin,G1,,,,1318814990.0,ns,55
prove Fischlin,G1,,,,1352031938.0,ns,56
prove Fischlin,G1,,,,1388206925.0,ns,57
prove Fischlin,G1,,,,1373255471.0,ns,58
prove Fischlin,G1,,,,1398112011.0,ns,59
prove Fischlin,G1,,,,1428391522.0,ns,60
prove Fischlin,G1,,,,1412857341.0,ns,61
prove Fischlin,G1,,,,1478777539.0,ns,62
prove Fischlin,G1,,,,1535290072.0,ns,63
prove Fischlin,G1,,,,1528752410.0,ns,64
prove Fischlin,G1,,,,1537801867.0,ns,65
prove Fischlin,G1,,,,1591210219.0,ns,66
prove Fischlin,G1,,,,1612713609.0,ns,67
prove Fischlin,G1,,,,1615231192.0,ns,68
prove Fischlin,G1,,,,1679528767.0,ns,69
prove Fischlin,G1,,,,1693426925.0,ns,70
prove Fischlin,G1,,,,1644725974.0,ns,71
prove Fischlin,G1,,,,1739156459.0,ns,72
prove Fischlin,G1,,,,1752470159.0,ns,73
prove Fischlin,G1,,,,1752733722.0,ns,74
prove Fischlin,G1,,,,1818503380.0,ns,75
prove Fischlin,G1,,,,1790756235.0,ns,76
prove Fischlin,G1,,,,1827928876.0,ns,77
prove Fischlin,G1,,,,1889494724.0,ns,78
prove Fischlin,G1,,,,1866951357.0,ns,79
prove Fischlin,G1,,,,1917736448.0,ns,80
prove Fischlin,G1,,,,1917044543.0,ns,81
prove Fischlin,G1,,,,1986769883.0,ns,82
prove Fischlin,G1,,,,2012267628.0,ns,83
prove Fischlin,G1,,,,2051394314.0,ns,84
prove Fischlin,G1,,,,2061851043.0,ns,85
prove Fischlin,G1,,,,2046625157.0,ns,86
prove Fischlin,G1,,,,2041652403.0,ns,87
prove Fischlin,G1,,,,2106099858.0,ns,88
prove Fischlin,G1,,,,2106974966.0,ns,89
prove Fischlin,G1,,,,2182959350.0,ns,90
prove Fischlin,G1,,,,2245850154.0,ns,91
prove Fischlin,G1,,,,2212135756.0,ns,92
prove Fischlin,G1,,,,2221591718.0,ns,93
prove Fischlin,G1,,,,2236528270.0,ns,94
prove Fischlin,G1,,,,2330910661.0,ns,95
prove Fischlin,G1,,,,2347256792.0,ns,96
prove Fischlin,G1,,,,2304683563.0,ns,97
prove Fischlin,G1,,,,2318663112.0,ns,98
prove Fischlin,G1,,,,2308644984.0,ns,99
prove Fischlin,G1,,,,2407030115.0,ns,100
