group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
prove Fischlin,G2,,,,78213726.0,ns,1
prove Fischlin,G2,,,,131525067.0,ns,2
prove Fischlin,G2,,,,216888895.0,ns,3
prove Fischlin,G2,,,,273841943.0,ns,4
prove Fischlin,G2,,,,329247955.0,ns,5
prove Fischlin,G2,,,,438348860.0,ns,6
prove Fischlin,G2,,,,487647404.0,ns,7
prove Fischlin,G2,,,,568536566.0,ns,8
prove Fischlin,G2,,,,641864762.0,ns,9
prove Fischlin,G2,,,,668126772.0,ns,10
prove Fischlin,G2,,,,784129042.0,ns,11
prove Fischlin,G2,,,,816788123.0,ns,12
prove Fischlin,G2,,,,888336204.0,ns,13
prove Fischlin,G2,,,,987761899.0,ns,14
prove Fischlin,G2,,,,1031889667.0,ns,15
prove Fischlin,G2,,,,1210860621.0,ns,16
prove Fischlin,G2,,,,1174803065.0,ns,17
prove Fischlin,G2,,,,1233927471.0,ns,18
prove Fischlin,G2,,,,1300329299.0,ns,19
prove Fischlin,G2,,,,1349895043.0,ns,20
prove Fischlin,G2,,,,1495113238.0,ns,21
prove Fischlin,G2,,,,1590981491.0,ns,22
prove Fischlin,G2,,,,1585334668.0,ns,23
prove Fischlin,G2,,,,1704512957.0,ns,24
prove Fischlin,G2,,,,1747729160.0,ns,25
prove Fischlin,G2,,,,1814757972.0,ns,26
prove Fischlin,G2,,,,1944233812.0,ns,27
prove Fischlin,G2,,,,1917133712.0,ns,28
prove Fischlin,G2,,,,2059820597.0,ns,29
prove Fischlin,G2,,,,2106255065.0,ns,30
prove Fischlin,G2,,,,2249397035.0,ns,31
prove Fischlin,G2,,,,2213545383.0,ns,32
prove Fischlin,G2,,,,2298985449.0,ns,33
prove Fischlin,G2,,,,2369198236.0,ns,34
prove Fischlin,G2,,,,2532955346.0,ns,35
prove Fischlin,G2,,,,2561493409.0,ns,36
prove Fischlin,G2,,,,2665661176.0,ns,37
prove Fischlin,G2,,,,2717381366.0,ns,38
prove Fischlin,G2,,,,2707220870.0,ns,39
prove Fischlin,G2,,,,2762821657.0,ns,40
prove Fischlin,G2,,,,2900890225.0,ns,41
prove Fischlin,G2,,,,3007635196.0,ns,42
prove Fischlin,G2,,,,3006338980.0,ns,43
prove Fischlin,G2,,,,3101537460.0,ns,44
prove Fischlin,G2,,,,3098273995.0,ns,45
prove Fischlin,G2,,,,3180605694.0,ns,46
prove Fischlin,G2,,,,3234491765.0,ns,47
prove Fischlin,G2,,,,3352237308.0,ns,48
prove Fischlin,G2,,,,3371644945.0,ns,49
prove Fischlin,G2,,,,3642136468.0,ns,50
prove Fischlin,G2,,,,3592292459.0,ns,51
prove Fischlin,G2,,,,3691840501.0,ns,52
prove Fischlin,G2,,,,3672425954.0,ns,53
prove Fischlin,G2,,,,3771914397.0,ns,54
prove Fischlin,G2,,,,3757808224.0,ns,55
prove Fischlin,G2,,,,3934222290.0,ns,56
prove Fischlin,G2,,,,3997047739.0,ns,57
prove Fischlin,G2,,,,4024589717.0,ns,58
prove Fischlin,G2,,,,4015772176.0,ns,59
prove Fischlin,G2,,,,4123137878.0,ns,60
prove Fischlin,G2,,,,4354563519.0,ns,61
prove Fischlin,G2,,,,4495910581.0,ns,62
prove Fischlin,G2,,,,4417053177.0,ns,63
prove Fischlin,G2,,,,4516408264.0,ns,64
prove Fischlin,G2,,,,4535854292.0,ns,65
prove Fischlin,G2,,,,4721528068.0,ns,66
prove Fischlin,G2,,,,4704120381.0,ns,67
prove Fischlin,G2,,,,4836652219.0,ns,68
prove Fischlin,G2,,,,4810338241.0,ns,69
prove Fischlin,G2,,,,4749123714.0,ns,70
prove Fischlin,G2,,,,5012978446.0,ns,71
prove Fischlin,G2,,,,4982932979.0,ns,72
prove Fischlin,G2,,,,5096308808.0,ns,73
prove Fischlin,G2,,,,5254056219.0,ns,74
prove Fischlin,G2,,,,5135726283.0,ns,75
prove Fischlin,G2,,,,5378375160.0,ns,76
prove Fischlin,G2,,,,5396278357.0,ns,77
prove Fischlin,G2,,,,5536056334.0,ns,78
prove Fischlin,G2,,,,5481155661.0,ns,79
prove Fischlin,G2,,,,5558303564.0,ns,80
prove Fischlin,G2,,,,5752820082.0,ns,81
prove Fischlin,G2,,,,5706371126.0,ns,82
prove Fischlin,G2,,,,5937731784.0,ns,83
prove Fischlin,G2,,,,5776845917.0,ns,84
prove Fischlin,G2,,,,5838394766.0,ns,85
prove Fischlin,G2,,,,6031497570.0,ns,86
prove Fischlin,G2,,,,5952829897.0,ns,87
prove Fischlin,G2,,,,6239709213.0,ns,88
prove Fischlin,G2,,,,6094177008.0,ns,89
prove Fischlin,G2,,,,6388484178.0,ns,90
prove Fischlin,G2,,,,6372776113.0,ns,91
prove Fischlin,G2,,,,6412541044.0,ns,92
prove Fischlin,G2,,,,6582110277.0,ns,93
prove Fischlin,G2,,,,6611797338.0,ns,94
prove Fischlin,G2,,,,6701929842.0,ns,95
prove Fischlin,G2,,,,6704391933.0,ns,96
prove Fischlin,G2,,,,6833281927.0,ns,97
prove Fischlin,G2,,,,6918618048.0,ns,98
prove Fischlin,G2,,,,7008065807.0,ns,99
prove Fischlin,G2,,,,7138333546.0,ns,100
