group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
verify Fiat-Shamir,G1,,,,885560.0,ns,1
verify Fiat-Shamir,G1,,,,1722380.0,ns,2
verify Fiat-Shamir,G1,,,,2585096.0,ns,3
verify Fiat-Shamir,G1,,,,3483482.0,ns,4
verify Fiat-Shamir,G1,,,,4352151.0,ns,5
verify Fiat-Shamir,G1,,,,5220016.0,ns,6
verify Fiat-Shamir,G1,,,,6119664.0,ns,7
verify Fiat-Shamir,G1,,,,6897370.0,ns,8
verify Fiat-Shamir,G1,,,,7799213.0,ns,9
verify Fiat-Shamir,G1,,,,8682018.0,ns,10
verify Fiat-Shamir,G1,,,,9542652.0,ns,11
verify Fiat-Shamir,G1,,,,10374872.0,ns,12
verify Fiat-Shamir,G1,,,,11341324.0,ns,13
verify Fiat-Shamir,G1,,,,12148168.0,ns,14
verify Fiat-Shamir,G1,,,,13231303.0,ns,15
verify Fiat-Shamir,G1,,,,14217820.0,ns,16
verify Fiat-Shamir,G1,,,,15021359.0,ns,17
verify Fiat-Shamir,G1,,,,15818021.0,ns,18
verify Fiat-Shamir,G1,,,,16568766.0,ns,19
verify Fiat-Shamir,G1,,,,17443106.0,ns,20
verify Fiat-Shamir,G1,,,,18193650.0,ns,21
verify Fiat-Shamir,G1,,,,19100861.0,ns,22
verify Fiat-Shamir,G1,,,,19941198.0,ns,23
verify Fiat-Shamir,G1,,,,20771523.0,ns,24
verify Fiat-Shamir,G1,,,,21766943.0,ns,25
verify Fiat-Shamir,G1,,,,23578438.0,ns,26
verify Fiat-Shamir,G1,,,,23488221.0,ns,27
verify Fiat-Shamir,G1,,,,24285253.0,ns,28
verify Fiat-Shamir,G1,,,,25240196.0,ns,29
verify Fiat-Shamir,G1,,,,25959071.0,ns,30
verify Fiat-Shamir,G1,,,,26886953.0,ns,31
verify Fiat-Shamir,G1,,,,27656864.0,ns,32
verify Fiat-Shamir,G1,,,,28690081.0,ns,33
verify Fiat-Shamir,G1,,,,29571234.0,ns,34
verify Fiat-Shamir,G1,,,,30584919.0,ns,35
verify Fiat-Shamir,G1,,,,31419869.0,ns,36
verify Fiat-Shamir,G1,,,,32259664.0,ns,37
verify Fiat-Shamir,G1,,,,33216270.0,ns,38
verify Fiat-Shamir,G1,,,,34197370.0,ns,39
verify Fiat-Shamir,G1,,,,36015569.0,ns,40
verify Fiat-Shamir,G1,,,,35384310.0,ns,41
verify Fiat-Shamir,G1,,,,36158010.0,ns,42
verify Fiat-Shamir,G1,,,,37655905.0,ns,43
verify Fiat-Shamir,G1,,,,38102399.0,ns,44
verify Fiat-Shamir,G1,,,,39436634.0,ns,45
verify Fiat-Shamir,G1,,,,40020536.0,ns,46
verify Fiat-Shamir,G1,,,,40760782.0,ns,47
verify Fiat-Shamir,G1,,,,41620745.0,ns,48
verify Fiat-Shamir,G1,,,,42444941.0,ns,49
verify Fiat-Shamir,G1,,,,44063512.0,ns,50
verify Fiat-Shamir,G1,,,,43898730.0,ns,51
verify Fiat-Shamir,G1,,,,44962770.0,ns,52
verify Fiat-Shamir,G1,,,,46335980.0,ns,53
verify Fiat-Shamir,G1,,,,47082659.0,ns,54
verify Fiat-Shamir,G1,,,,47509745.0,ns,55
verify Fiat-Shamir,G1,,,,48262565.0,ns,56
verify Fiat-Shamir,G1,,,,49357048.0,ns,57
verify Fiat-Shamir,G1,,,,51484252.0,ns,58
verify Fiat-Shamir,G1,,,,50842160.0,ns,59
verify Fiat-Shamir,G1,,,,51957444.0,ns,60
verify Fiat-Shamir,G1,,,,53248610.0,ns,61
verify Fiat-Shamir,G1,,,,53566771.0,ns,62
verify Fiat-Shamir,G1,,,,54439326.0,ns,63
verify Fiat-Shamir,G1,,,,55136562.0,ns,64
verify Fiat-Shamir,G1,,,,56939781.0,ns,65
verify Fiat-Shamir,G1,,,,57466526.0,ns,66
verify Fiat-Shamir,G1,,,,57845544.0,ns,67
verify Fiat-Shamir,G1,,,,59284167.0,ns,68
verify Fiat-Shamir,G1,,,,60968292.0,ns,69
verify Fiat-Shamir,G1,,,,60621499.0,ns,70
verify Fiat-Shamir,G1,,,,61618100.0,ns,71
verify Fiat-Shamir,G1,,,,63872642.0,ns,72
verify Fiat-Shamir,G1,,,,62819613.0,ns,73
verify Fiat-Shamir,G1,,,,64350366.0,ns,74
verify Fiat-Shamir,G1,,,,65423437.0,ns,75
verify Fiat-Shamir,G1,,,,66061139.0,ns,76
verify Fiat-Shamir,G1,,,,66580580.0,ns,77
verify Fiat-Shamir,G1,,,,68070600.0,ns,78
verify Fiat-Shamir,G1,,,,68102550.0,ns,79
verify Fiat-Shamir,G1,,,,69431938.0,ns,80
verify Fiat-Shamir,G1,,,,69998859.0,ns,81
verify Fiat-Shamir,G1,,,,70675314.0,ns,82
verify Fiat-Shamir,G1,,,,71704195.0,ns,83
verify Fiat-Shamir,G1,,,,73324099.0,ns,84
verify Fiat-Shamir,G1,,,,73870302.0,ns,85
verify Fiat-Shamir,G1,,,,74596472.0,ns,86
verify Fiat-Shamir,G1,,,,74943546.0,ns,87
verify Fiat-Shamir,G1,,,,76057417.0,ns,88
verify Fiat-Shamir,G1,,,,77622102.0,ns,89
verify Fiat-Shamir,G1,,,,77693996.0,ns,90
verify Fiat-Shamir,G1,,,,79185258.0,ns,91
verify Fiat-Shamir,G1,,,,79276963.0,ns,92
verify Fiat-Shamir,G1,,,,80406321.0,ns,93
verify Fiat-Shamir,G1,,,,82358954.0,ns,94
verify Fiat-Shamir,G1,,,,82078745.0,ns,95
verify Fiat-Shamir,G1,,,,85080650.0,ns,96
verify Fiat-Shamir,G1,,,,83617120.0,ns,97
verify Fiat-Shamir,G1,,,,85685993.0,ns,98
verify Fiat-Shamir,G1,,,,86151741.0,ns,99
verify Fiat-Shamir,G1,,,,86870805.0,ns,100
