group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
verify Fischlin,G1,,,,1546698.0,ns,1
verify Fischlin,G1,,,,3105287.0,ns,2
verify Fischlin,G1,,,,4673586.0,ns,3
verify Fischlin,G1,,,,6199635.0,ns,4
verify Fischlin,G1,,,,7753566.0,ns,5
verify Fischlin,G1,,,,9329298.0,ns,6
verify Fischlin,G1,,,,11333305.0,ns,7
verify Fischlin,G1,,,,12504585.0,ns,8
verify Fischlin,G1,,,,13989695.0,ns,9
verify Fischlin,G1,,,,15487561.0,ns,10
verify Fischlin,G1,,,,17370693.0,ns,11
verify Fischlin,G1,,,,18572691.0,ns,12
verify Fischlin,G1,,,,20159713.0,ns,13
verify Fischlin,G1,,,,21739855.0,ns,14
verify Fischlin,G1,,,,23642654.0,ns,15
verify Fischlin,G1,,,,24797360.0,ns,16
verify Fischlin,G1,,,,26813124.0,ns,17
verify Fischlin,G1,,,,27937985.0,ns,18
verify Fischlin,G1,,,,29818452.0,ns,19
verify Fischlin,G1,,,,31304986.0,ns,20
verify Fischlin,G1,,,,32501033.0,ns,21
verify Fischlin,G1,,,,34216987.0,ns,22
verify Fischlin,G1,,,,36023416.0,ns,23
verify Fischlin,G1,,,,37282719.0,ns,24
verify Fischlin,G1,,,,38786016.0,ns,25
verify Fischlin,G1,,,,40805806.0,ns,26
verify Fischlin,G1,,,,42064599.0,ns,27
verify Fischlin,G1,,,,43442339.0,ns,28
verify Fischlin,G1,,,,45052015.0,ns,29
verify Fischlin,G1,,,,46537344.0,ns,30
verify Fischlin,G1,,,,48212876.0,ns,31
verify Fischlin,G1,,,,50042307.0,ns,32
verify Fischlin,G1,,,,51201665.0,ns,33
verify Fischlin,G1,,,,52670424.0,ns,34
verify Fischlin,G1,,,,54360443.0,ns,35
verify Fischlin,G1,,,,55913488.0,ns,36
verify Fischlin,G1,,,,57732009.0,ns,37
verify Fischlin,G1,,,,58954546.0,ns,38
verify Fischlin,G1,,,,60668771.0,ns,39
verify Fischlin,G1,,,,61982689.0,ns,40
verify Fischlin,G1,,,,63855431.0,ns,41
verify Fischlin,G1,,,,65310504.0,ns,42
verify Fischlin,G1,,,,66975515.0,ns,43
verify Fischlin,G1,,,,73522795.0,ns,44
verify Fischlin,G1,,,,70371209.0,ns,45
verify Fischlin,G1,,,,71905353.0,ns,46
verify Fischlin,G1,,,,84212448.0,ns,47
verify Fischlin,G1,,,,79634464.0,ns,48
verify Fischlin,G1,,,,77831933.0,ns,49
verify Fischlin,G1,,,,77884653.0,ns,50
verify Fischlin,G1,,,,80088912.0,ns,51
verify Fischlin,G1,,,,81042829.0,ns,52
verify Fischlin,G1,,,,84535027.0,ns,53
verify Fischlin,G1,,,,83866077.0,ns,54
verify Fischlin,G1,,,,85917133.0,ns,55
verify Fischlin,G1,,,,87298782.0,ns,56
verify Fischlin,G1,,,,88868500.0,ns,57
verify Fischlin,G1,,,,90084306.0,ns,58
verify Fischlin,G1,,,,91710794.0,ns,59
verify Fischlin,G1,,,,93306219.0,ns,60
verify Fischlin,G1,,,,94856775.0,ns,61
verify Fischlin,G1,,,,97203120.0,ns,62
verify Fischlin,G1,,,,98232995.0,ns,63
verify Fischlin,G1,,,,101512198.0,ns,64
verify Fischlin,G1,,,,103342752.0,ns,65
verify Fischlin,G1,,,,103719173.0,ns,66
verify Fischlin,G1,,,,104302384.0,ns,67
verify Fischlin,G1,,,,105722933.0,ns,68
verify Fischlin,G1,,,,108692883.0,ns,69
verify Fischlin,G1,,,,109838295.0,ns,70
verify Fischlin,G1,,,,110882134.0,ns,71
verify Fischlin,G1,,,,112644639.0,ns,72
verify Fischlin,G1,,,,115900321.0,ns,73
verify Fischlin,G1,,,,115077247.0,ns,74
verify Fischlin,G1,,,,116584603.0,ns,75
verify Fischlin,G1,,,,119167334.0,ns,76
verify Fischlin,G1,,,,121692467.0,ns,77
verify Fischlin,G1,,,,122619463.0,ns,78
verify Fischlin,G1,,,,126535953.0,ns,79
verify Fischlin,G1,,,,125021325.0,ns,80
verify Fischlin,G1,,,,127123048.0,ns,81
verify Fischlin,G1,,,,128768995.0,ns,82
verify Fischlin,G1,,,,130268372.0,ns,83
verify Fischlin,G1,,,,130921916.0,ns,84
verify Fischlin,G1,,,,133426984.0,ns,85
verify Fischlin,G1,,,,134275108.0,ns,86
verify Fischlin,G1,,,,135829104.0,ns,87
verify Fischlin,G1,,,,137036980.0,ns,88
verify Fischlin,G1,,,,139728117.0,ns,89
verify Fischlin,G1,,,,140972015.0,ns,90
verify Fischlin,G1,,,,142001597.0,ns,91
verify Fischlin,G1,,,,143584041.0,ns,92
verify Fischlin,G1,,,,144780347.0,ns,93
verify Fischlin,G1,,,,146390838.0,ns,94
verify Fischlin,G1,,,,148674224.0,ns,95
verify Fischlin,G1,,,,149448892.0,ns,96
verify Fischlin,G1,,,,151978226.0,ns,97
verify Fischlin,G1,,,,153009410.0,ns,98
verify Fischlin,G1,,,,154234093.0,ns,99
verify Fischlin,G1,,,,156014990.0,ns,100
